,year,link_new,link_old
103,2000,https://en.wikipedia.org/wiki/Gao_Xingjian,https://en.wikipedia.org/wiki/Gao_Xingjian
104,2001,https://en.wikipedia.org/wiki/V._S._Naipaul,https://en.wikipedia.org/wiki/V._S._Naipaul
105,2002,https://en.wikipedia.org/wiki/Imre_Kertész,https://en.wikipedia.org/wiki/Imre_Kert%C3%A9sz
106,2003,https://en.wikipedia.org/wiki/J._M._Coetzee,https://en.wikipedia.org/wiki/J._M._Coetzee
107,2004,https://en.wikipedia.org/wiki/Elfriede_Jelinek,https://en.wikipedia.org/wiki/Elfriede_Jelinek
108,2005,https://en.wikipedia.org/wiki/Harold_Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
109,2006,https://en.wikipedia.org/wiki/Orhan_Pamuk,https://en.wikipedia.org/wiki/Orhan_Pamuk
110,2007,https://en.wikipedia.org/wiki/Doris_Lessing,https://en.wikipedia.org/wiki/Doris_Lessing
111,2008,https://en.wikipedia.org/wiki/J._M._G._Le_Clézio,https://en.wikipedia.org/wiki/J._M._G._Le_Cl%C3%A9zio
112,2009,https://en.wikipedia.org/wiki/Herta_Müller,https://en.wikipedia.org/wiki/Herta_M%C3%BCller
113,2010,https://en.wikipedia.org/wiki/Mario_Vargas_Llosa,https://en.wikipedia.org/wiki/Mario_Vargas_Llosa
114,2011,https://en.wikipedia.org/wiki/Tomas_Tranströmer,https://en.wikipedia.org/wiki/Tomas_Transtr%C3%B6mer
115,2012,https://en.wikipedia.org/wiki/Mo_Yan,https://en.wikipedia.org/wiki/Mo_Yan
116,2013,https://en.wikipedia.org/wiki/Alice_Munro,https://en.wikipedia.org/wiki/Alice_Munro
117,2014,https://en.wikipedia.org/wiki/Patrick_Modiano,https://en.wikipedia.org/wiki/Patrick_Modiano
118,2015,https://en.wikipedia.org/wiki/Svetlana_Alexievich,https://en.wikipedia.org/wiki/Svetlana_Alexievich
119,2016,https://en.wikipedia.org/wiki/Bob_Dylan,https://en.wikipedia.org/wiki/Bob_Dylan
120,2017,https://en.wikipedia.org/wiki/Kazuo_Ishiguro,https://en.wikipedia.org/wiki/Kazuo_Ishiguro
121,2018,https://en.wikipedia.org/wiki/Olga_Tokarczuk,https://en.wikipedia.org/wiki/Olga_Tokarczuk
122,2019,https://en.wikipedia.org/wiki/Peter_Handke,https://en.wikipedia.org/wiki/Peter_Handke
123,2020,https://en.wikipedia.org/wiki/Louise_Glück,https://en.wikipedia.org/wiki/Louise_Gl%C3%BCck
124,2021,https://en.wikipedia.org/wiki/Abdulrazak_Gurnah,https://en.wikipedia.org/wiki/Abdulrazak_Gurnah
125,2022,https://en.wikipedia.org/wiki/Annie_Ernaux,https://en.wikipedia.org/wiki/Annie_Ernaux
126,2023,https://en.wikipedia.org/wiki/Jon_Fosse,https://en.wikipedia.org/wiki/Jon_Fosse
127,2024,https://en.wikipedia.org/wiki/Han_Kang,https://en.wikipedia.org/wiki/Han_Kang
128,2025,https://en.wikipedia.org/wiki/László_Krasznahorkai,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Krasznahorkai
