awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1901,Literature,The Nobel Prize in  Literature,1,1,150782,8567159,NA,received,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1901,569,Sully Prudhomme,Sully Prudhomme,Sully,Prudhomme,Sully Prudhomme,(pen-name of René François Armand Prudhomme),male,http://masterdataapi.nobelprize.org/2/laureate/569,1839-03-16,Paris,Paris,Europe,France,France,"Paris, France",1907-09-07,Châtenay,Châtenay,Europe,France,France,"Châtenay, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1902,Literature,The Nobel Prize in  Literature,1,1,141847,8059489,NA,received,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1902,571,Theodor Mommsen,Theodor Mommsen,Theodor,Mommsen,Christian Matthias Theodor Mommsen,NA,male,http://masterdataapi.nobelprize.org/2/laureate/571,1817-11-30,Garding,Garding,Europe,Schleswig,Germany,"Garding, Schleswig (now Germany)",1903-11-01,Charlottenburg,Charlottenburg,Europe,Germany,Germany,"Charlottenburg, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
1903,Literature,The Nobel Prize in  Literature,1,1,141358,7795478,NA,received,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1903,572,Bjørnstjerne Bjørnson,Bjørnstjerne Bjørnson,Bjørnstjerne,Bjørnson,Bjørnstjerne Martinus Bjørnson,NA,male,http://masterdataapi.nobelprize.org/2/laureate/572,1832-12-08,Kvikne,Kvikne,Europe,Norway,Norway,"Kvikne, Norway",1910-04-26,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Norway,NA,NA,NA,NA,NA
1904,Literature,The Nobel Prize in  Literature,1,1/2,140859,7767960,NA,received,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1904,573,Frédéric Mistral,Frédéric Mistral,Frédéric,Mistral,Frédéric Mistral,NA,male,http://masterdataapi.nobelprize.org/2/laureate/573,1830-09-08,Maillane,Maillane,Europe,France,France,"Maillane, France",1914-03-25,Maillane,Maillane,Europe,France,France,"Maillane, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1904,Literature,The Nobel Prize in  Literature,2,1/2,140859,7767960,NA,received,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1904,574,José Echegaray,José Echegaray,José,Echegaray,José Echegaray y Eizaguirre,NA,male,http://masterdataapi.nobelprize.org/2/laureate/574,1832-04-19,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",1916-09-04,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Spain,NA,NA,NA,NA,NA
1905,Literature,The Nobel Prize in  Literature,1,1,138089,7615202,NA,received,because of his outstanding merits as an epic writer,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1905,575,Henryk Sienkiewicz,Henryk Sienkiewicz,Henryk,Sienkiewicz,Henryk Sienkiewicz,NA,male,http://masterdataapi.nobelprize.org/2/laureate/575,1846-05-05,Wola Okrzejska,Wola Okrzejska,Europe,Poland,Poland,"Wola Okrzejska, Poland",1916-11-15,Vevey,Vevey,Europe,Switzerland,Switzerland,"Vevey, Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Poland,NA,NA,NA,NA,NA
1906,Literature,The Nobel Prize in  Literature,1,1,138536,7421571,NA,received,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1906,576,Giosuè Carducci,Giosuè Carducci,Giosuè,Carducci,Giosuè Carducci,NA,male,http://masterdataapi.nobelprize.org/2/laureate/576,1835-07-27,Val di Castello,Val di Castello,Europe,Tuscany,Italy,"Val di Castello, Tuscany (now Italy)",1907-02-16,Bologna,Bologna,Europe,Italy,Italy,"Bologna, Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Italy,NA,NA,NA,NA,NA
1907,Literature,The Nobel Prize in  Literature,1,1,138796,7033581,NA,received,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1907,577,Rudyard Kipling,Rudyard Kipling,Rudyard,Kipling,Rudyard Kipling,NA,male,http://masterdataapi.nobelprize.org/2/laureate/577,1865-12-30,Bombay,Bombay,Asia,British India,India,"Bombay, British India (now India)",1936-01-18,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1908,Literature,The Nobel Prize in  Literature,1,1,139800,7084459,NA,received,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1908,578,Rudolf Eucken,Rudolf Eucken,Rudolf,Eucken,Rudolf Christoph Eucken,NA,male,http://masterdataapi.nobelprize.org/2/laureate/578,1846-01-05,Aurich,Aurich,Europe,East Friesland,Germany,"Aurich, East Friesland (now Germany)",1926-09-14,Jena,Jena,Europe,Germany,Germany,"Jena, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
1909,Literature,The Nobel Prize in  Literature,1,1,139800,7084459,NA,received,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1909,579,Selma Lagerlöf,Selma Lagerlöf,Selma,Lagerlöf,Selma Ottilia Lovisa Lagerlöf,NA,female,http://masterdataapi.nobelprize.org/2/laureate/579,1858-11-20,Mårbacka,Mårbacka,Europe,Sweden,Sweden,"Mårbacka, Sweden",1940-03-16,Mårbacka,Mårbacka,Europe,Sweden,Sweden,"Mårbacka, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
