"tablescraper-selected-row","tablescraper-selected-row href","mw-file-description href","mw-file-element src","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href 2","mw-file-element src 2","tablescraper-selected-row 4","tablescraper-selected-row href 3","tablescraper-selected-row 5","tablescraper-selected-row href 4","tablescraper-selected-row 6","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row href 5"
"1901","https://en.wikipedia.org/wiki/1901_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Sully-Prudhomme_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Sully-Prudhomme_%28cropped%29.jpg/120px-Sully-Prudhomme_%28cropped%29.jpg","(1839–1907)","Sully Prudhomme","https://en.wikipedia.org/wiki/Sully_Prudhomme","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png","France","https://en.wikipedia.org/wiki/French_Third_Republic","French","https://en.wikipedia.org/wiki/French_language","""in special recognition of his poetic composition, which gives evidence of , artistic perfection and a rare combination of the qualities of both heart and intellect""","8","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1901-9","[","]","poetry, essay","",""
"1902","https://en.wikipedia.org/wiki/1902_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Theodor_Mommsen_2_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Theodor_Mommsen_2_%28cropped%29.jpg/120px-Theodor_Mommsen_2_%28cropped%29.jpg","(1817–1903)","Theodor Mommsen","https://en.wikipedia.org/wiki/Theodor_Mommsen","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Germany_%281867%E2%80%931918%29.svg/40px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png","Germany","https://en.wikipedia.org/wiki/German_Empire","German","https://en.wikipedia.org/wiki/German_language","""the greatest living master of the art of historical writing, with special reference to his monumental work ""","9","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1902-10","[","]","history, law","",""
"1903","https://en.wikipedia.org/wiki/1903_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Bj%C3%B8rnstjerne_Bj%C3%B8rnson_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Bj%C3%B8rnstjerne_Bj%C3%B8rnson_%28cropped%29.jpg/120px-Bj%C3%B8rnstjerne_Bj%C3%B8rnson_%28cropped%29.jpg","(1832–1910)","Bjørnstjerne Bjørnson","https://en.wikipedia.org/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/40px-Flag_of_Norway.svg.png","Norway","https://en.wikipedia.org/wiki/Norway","Norwegian","https://en.wikipedia.org/wiki/Norwegian_language","""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""","10","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1903-11","[","]","poetry, novel, drama","",""
"1904","https://en.wikipedia.org/wiki/1904_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Portrait_frederic_mistral_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Portrait_frederic_mistral_%28cropped%29.jpg/120px-Portrait_frederic_mistral_%28cropped%29.jpg","(1830–1914)","Frédéric Mistral","https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Mistral","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png","France","https://en.wikipedia.org/wiki/French_Third_Republic","Provençal","https://en.wikipedia.org/wiki/Proven%C3%A7al_dialect","""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a  philologist""","11","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1904-12","[","]","poetry,","Provençal","https://en.wikipedia.org/wiki/Proven%C3%A7al_dialect"
"Spain","https://en.wikipedia.org/wiki/Restoration_(Spain)","https://en.wikipedia.org/wiki/File:Jos%C3%A9_Echegaray_y_Eizaguirre_(cropped2).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Jos%C3%A9_Echegaray_y_Eizaguirre_%28cropped2%29.jpg/120px-Jos%C3%A9_Echegaray_y_Eizaguirre_%28cropped2%29.jpg","(1832–1916)","José Echegaray","https://en.wikipedia.org/wiki/Jos%C3%A9_Echegaray","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_Spain_%281785%E2%80%931873%2C_1875%E2%80%931931%29.svg/40px-Flag_of_Spain_%281785%E2%80%931873%2C_1875%E2%80%931931%29.svg.png","Spanish","https://en.wikipedia.org/wiki/Spanish_language","","","drama","11","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1904-12","[","]","","",""
"1905","https://en.wikipedia.org/wiki/1905_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Henryk_Sienkiewicz_1905.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Henryk_Sienkiewicz_1905.jpg/120px-Henryk_Sienkiewicz_1905.jpg","(1846–1916)","Henryk Sienkiewicz","https://en.wikipedia.org/wiki/Henryk_Sienkiewicz","https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Royal_Standard_of_the_Tsar_of_Poland_%281815%E2%80%931830%29.svg/40px-Royal_Standard_of_the_Tsar_of_Poland_%281815%E2%80%931830%29.svg.png","Poland","https://en.wikipedia.org/wiki/Congress_Poland","Polish","https://en.wikipedia.org/wiki/Polish_language","""because of his outstanding merits as an epic writer""","12","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1905-13","[","]","novel","",""
"1906","https://en.wikipedia.org/wiki/1906_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Giosu%C3%A8_Carducci2_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Giosu%C3%A8_Carducci2_%28cropped%29.jpg/120px-Giosu%C3%A8_Carducci2_%28cropped%29.jpg","(1835–1907)","Giosuè Carducci","https://en.wikipedia.org/wiki/Giosu%C3%A8_Carducci","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Italy_%281861-1946%29_crowned.svg/40px-Flag_of_Italy_%281861-1946%29_crowned.svg.png","Italy","https://en.wikipedia.org/wiki/Kingdom_of_Italy","Italian","https://en.wikipedia.org/wiki/Italian_language","""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""","13","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1906-14","[","]","poetry","",""
"1907","https://en.wikipedia.org/wiki/1907_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Rudyard_Kipling_(portrait).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Rudyard_Kipling_%28portrait%29.jpg/120px-Rudyard_Kipling_%28portrait%29.jpg","(1865–1936)","Rudyard Kipling","https://en.wikipedia.org/wiki/Rudyard_Kipling","https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom_of_Great_Britain_and_Ireland","English","https://en.wikipedia.org/wiki/English_language","""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration that characterize the creations of this world-famous author""","14","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1907-15","[","]","novel, short story, poetry","",""
"1908","https://en.wikipedia.org/wiki/1908_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Eucken-im-Alter.png","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Eucken-im-Alter.png/120px-Eucken-im-Alter.png","(1846–1926)","Rudolf Christoph Eucken","https://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Germany_%281867%E2%80%931918%29.svg/40px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png","Germany","https://en.wikipedia.org/wiki/German_Empire","German","https://en.wikipedia.org/wiki/German_language","""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""","15","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1908-16","[","]","philosophy","",""
"1909","https://en.wikipedia.org/wiki/1909_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Selma_Lagerl%C3%B6f_(cropped2).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Selma_Lagerl%C3%B6f_%28cropped2%29.jpg/120px-Selma_Lagerl%C3%B6f_%28cropped2%29.jpg","(1858–1940)","Selma Lagerlöf","https://en.wikipedia.org/wiki/Selma_Lagerl%C3%B6f","https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/40px-Flag_of_Sweden.svg.png","Sweden","https://en.wikipedia.org/wiki/Sweden","Swedish","https://en.wikipedia.org/wiki/Swedish_language","""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""","16","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1909-17","[","]","novel, short story","",""
